"","V1","V2","V3","prob","cumul.prob","V6"
"1490",23,7,70,1.16024093025841e-16,2.07861656074724e-14,64.34
"1491",7,23,70,1.16024093025841e-16,2.09021897004982e-14,64.34
"1492",68,29,3,1.37635418340399e-18,2.09035660546816e-14,64.22
"1493",29,68,3,1.37635418340399e-18,2.0904942408865e-14,64.22
"1494",68,3,29,1.37635418340399e-18,2.09063187630484e-14,64.22
"1495",3,68,29,1.37635418340399e-18,2.09076951172318e-14,64.22
"1496",29,3,68,1.37635418340399e-18,2.09090714714152e-14,64.22
"1497",3,29,68,1.37635418340399e-18,2.09104478255986e-14,64.22
"1498",71,17,12,1.2497102132607e-15,2.21601580388593e-14,64.22
"1499",17,71,12,1.2497102132607e-15,2.340986825212e-14,64.22
"1500",71,12,17,1.2497102132607e-15,2.46595784653807e-14,64.22
"1501",12,71,17,1.2497102132607e-15,2.59092886786414e-14,64.22
"1502",17,12,71,1.2497102132607e-15,2.71589988919021e-14,64.22
"1503",12,17,71,1.2497102132607e-15,2.84087091051628e-14,64.22
"1504",71,16,13,1.63423643272559e-15,3.00429455378884e-14,63.98
"1505",16,71,13,1.63423643272559e-15,3.1677181970614e-14,63.98
"1506",71,13,16,1.63423643272559e-15,3.33114184033396e-14,63.98
"1507",13,71,16,1.63423643272559e-15,3.49456548360652e-14,63.98
"1508",16,13,71,1.63423643272559e-15,3.65798912687908e-14,63.98
"1509",13,16,71,1.63423643272559e-15,3.82141277015164e-14,63.98
"1510",69,26,5,2.18660790702523e-17,3.82359937805866e-14,63.86
"1511",26,69,5,2.18660790702523e-17,3.82578598596569e-14,63.86
"1512",71,15,14,1.86769878025776e-15,4.01255586399146e-14,63.86
"1513",15,71,14,1.86769878025776e-15,4.19932574201724e-14,63.86
"1514",71,14,15,1.86769878025776e-15,4.38609562004301e-14,63.86
"1515",14,71,15,1.86769878025776e-15,4.57286549806879e-14,63.86
"1516",69,5,26,2.18660790702523e-17,4.57505210597581e-14,63.86
"1517",5,69,26,2.18660790702523e-17,4.57723871388284e-14,63.86
"1518",26,5,69,2.18660790702523e-17,4.57942532178986e-14,63.86
"1519",5,26,69,2.18660790702523e-17,4.58161192969689e-14,63.86
"1520",15,14,71,1.86769878025776e-15,4.76838180772267e-14,63.86
"1521",14,15,71,1.86769878025776e-15,4.95515168574844e-14,63.86
"1522",67,31,2,3.01909949907955e-19,4.95518187674343e-14,63.62
"1523",31,67,2,3.01909949907955e-19,4.95521206773842e-14,63.62
"1524",67,2,31,3.01909949907955e-19,4.95524225873341e-14,63.62
"1525",2,67,31,3.01909949907955e-19,4.9552724497284e-14,63.62
"1526",31,2,67,3.01909949907955e-19,4.9553026407234e-14,63.62
"1527",2,31,67,3.01909949907955e-19,4.95533283171839e-14,63.62
"1528",65,35,0,2.12478641216753e-21,4.95533304419703e-14,63.5
"1529",35,65,0,2.12478641216753e-21,4.95533325667567e-14,63.5
"1530",65,0,35,2.12478641216753e-21,4.95533346915431e-14,63.5
"1531",0,65,35,2.12478641216753e-21,4.95533368163295e-14,63.5
"1532",35,0,65,2.12478641216753e-21,4.95533389411159e-14,63.5
"1533",0,35,65,2.12478641216753e-21,4.95533410659023e-14,63.5
